name,transcription,meaning,extended meaning,gloss,language
Akínwọlérẹ̀,akin-wọ-ilé-rẹ̀,Valor enters its house. The valiant one enters into his domain.,unknown,"[{'akin': ' - valor, bravery, the hero, the brave one'}]",yoruba
Akínwọwọ́,akin-wọ-ọwọ́,Valor has come into hand. [Verification needed],unknown,"[{'akin': ' - valor, bravery'}]",yoruba
Akínwọyè,akin-wọ-oyè,Valor enters honour.,unknown,"[{'akin': ' - valor, bravery'}]",yoruba
Akínwọ̀nmí,akin-wọ̀n-mí,Valor measured me. [verification needed],unknown,[{'akin': ' - valour (valiant one)'}],yoruba
Akínyànmí,akin-yàn-mí,Valor chose me.,unknown,"[{'akin': ' - valor, bravery'}]",yoruba
Akínyúghà,akin-yí-ughà,A warrior is coming to the elders/chiefs meeting place.,The name comes from Ìdànrè.,"[{'akin': ' - valor, warrior'}]",yoruba
Akínyẹdé,akin-yẹ-dé,Valor is worthwhile. [verification needed],unknown,"[{'akin': ' - valor/valiant, bravery/brave one'}]",yoruba
Akínyẹmíjù,akin-yẹ-mí-jù,Valor suits me the most.,See also: Akínwùmíjù,"[{'akin': ' - valor, bravery'}]",yoruba
Akínyẹyè,akin-yẹ-oyè,The brave one is deserving of honour.,unknown,"[{'akin': ' - bravery/valor, the brave/valiant one'}]",yoruba
Akínyẹ̀lúrẹ̀,akin-yẹ-ìlú-rẹ̀,Valor befits its town.,unknown,"[{'akin': ' - valor, bravery, heroism'}]",yoruba
Akínyọdé,akin-yọ-dé,The brave came back rejoicing.,unknown,"[{'akin': ' - valor, the brave one'}]",yoruba
Akínyọḿbọ̀,akin-yọ-mí-bọ̀,Valor saved and brought me.,See: Ṣóyọḿbọ̀,"[{'akin': ' - valor, bravery'}]",yoruba
Akínyọ̀ádé,akin-yọ̀-(sí)-adé,Valor rejoices into royalty.,unknown,[{'akin': ' - valor'}],yoruba
Akínyọ̀mádé,akin-yọ̀-mọ́-adé,A hero embraces the crown.,unknown,"[{'akin': ' - hero, valiant one, the brave one'}]",yoruba
Akínyọ̀óyè,akin-yọ̀-(sí)-oyè,Valor rejoices into chieftaincy.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akínyọ̀sóyè,akin-yọ̀-sí-oyè,Valor rejoices in honour.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akínyọọ́lá,akin-yọ̀-(sí)-ọlá,A courageous man emerges into success/wealth/nobility.,unknown,"[{'akin': ' - valor, courage'}]",yoruba
Akínṣelóyin,akin-ṣe-ní(nú)-oyin,Valor is part of sweetness.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akínṣemóyin,akín-ṣe-mọ́-oyin,Bravery is created with sweetness.,"User comment:
""May this might help with meaning: The news of a minor in line for succession was conveyed back to Benin. The order was summarily issued appointing Gabaro’s uncle, Akinsemoyin, to the throne until the infant heir was old enough for the throne. Thus, Akinsemoyin was crowned the fourth Eleko of Eko. Incidentally but significantly, there is a difference in meaning between the two versions of Akinsemoyin’s name. In the Benin version, Akinshinmoye or Akinseymoyin of this name meant that the older people of the family, being strong and wise even when he was young, should hold office. The Yoruba meaning is Ki Akin se fi owo mu oye na, bravery gladdens me.""",[{'akin': ' - bravery'}],yoruba
Akínṣidà,akin-[--]-idà,The warrior draws his sword. [verification needed],unknown,"[{'akin': ' - warrior, the valiant one'}]",yoruba
Akínṣìjù,akin-ṣì-jù,Valor is still prominent.,unknown,"[{'akin': ' - valor, bravery'}]",yoruba
Akínṣìlọ,akin-ṣì-lọ,The valiant ones left still.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akínṣíwájú,akin-ṣíwájú,The valiant one led the pack.,unknown,[{'akin': ' - the valiant one'}],yoruba
Akínṣuyì,akin-ṣe-uyì,Valor makes value.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akínṣẹ̀mólú,akin-ṣè(ṣẹ)-mú-olú,Valor just triumphed.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akínṣẹ̀yìnwá,akin-ṣe-ẹ̀yìn-wá,The valiant one came from behind.,"See: Akínsẹ̀hìnwá.
A male child born after a long wait.",[{'akin': ' - valiant one'}],yoruba
Akínṣẹ́gun,akin-ṣẹ́gun,Bravery won (us) the war. The warrior conquered.,unknown,[{'akin': ' - warrior'}],yoruba
Akísanmí,akin-san-mí,A variation of Akínsanmí: I'm ennobled by valor.,unknown,"[{'akin': ' - valor, bravery'}]",yoruba
Akíyèsí,a-kíyèsí,One who pays attention. The observer.,unknown,[{'a': ' - one who'}],yoruba
Akíọdé,[unknown],[meaning unknown],"Variant of Akíyọdé, perhaps? [verification needed]",[{None: ' - '}],yoruba
Akínbádé,-,Valor met the crown.,unknown,,yoruba
Akínbándé,-,Valor comes with me.,unknown,,yoruba
Akínbíyì,akin-bí-èyí,Valor gave birth to this.,Better written as Akínbíyìí.,"[{'akin': ' - valor, bravery'}]",yoruba
Akínbọ̀bọ́lá,akin-bọ̀-bá-ọlá,Valor returned and met success/wealth.,unknown,"[{'akin': ' - valor, bravery'}]",yoruba
Akínbọ́lá,-,Valor meets wealth.,unknown,,yoruba
Akínbọ́lájí,-,Valor wakes up with wealth.,unknown,,yoruba
Akíndélé,-,Valor has arrived home.,unknown,,yoruba
Akíndípẹ̀,akín-dípẹ̀,The valiant one replaced (our loss).,unknown,[{'akin': ' - the valiant one'}],yoruba
Akíndúró,akin-dúró,Valor stands. Valor waits.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akíndẹ́kọ̀,-,unknown,unknown,,yoruba
Akíndọlápọ̀,-,Valor mixes wealth together.,unknown,,yoruba
Akíndọ̀tun,-,Valor is renewed.,unknown,,yoruba
Akínfọlájìnmí,akin-fi-ọlá-jìn-mí,Valor rewarded me with wealth.,unknown,[{'akin': ' - valor'}],yoruba
Akíngbọlá,akin-gba-ọlá,Valor accepts wealth.,unknown,"[{'akin': ' - valor/valiant, bravery/brave one'}]",yoruba
Akínjógbìn,-,unknown,unknown,,yoruba
Akínkùówó,-,Valor remains in wealth.,unknown,,yoruba
Akínkúnmi,akin-kún-mi,Valor has been added to me.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akínpàdé,akin-pàdé,The valiant ones meet.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akínrántí,-,Valor remembers.,unknown,,yoruba
Akínrelé,-,Valor departs for home.,unknown,,yoruba
Akínrótìmí,-,Valor stays with me.,unknown,,yoruba
Akínrẹ̀mí,-,Valor consoles me.,unknown,,yoruba
Akínsolúgbà,-,unknown,unknown,,yoruba
Akínsomọ́jú,-,unknown,unknown,,yoruba
Akínsùbòmí,-,Valor gathers around me.,unknown,,yoruba
Akínsẹ̀yẹ,-,Valor makes ornaments.,unknown,,yoruba
Akínsẹ́tẹ̀,akin-ṣẹ́-ọ̀tẹ̀,Valor conquered all intrigues.,unknown,"[{'akin': ' - valor, bravery'}]",yoruba
Akínsọ̀wọ́n,-,Valor is scarce.,unknown,,yoruba
Akínsọ̀yínù,-,Valor lost this.,unknown,,yoruba
Akíntádé,-,Valor is equal to the crown.,unknown,,yoruba
Akíntán,akín-tán,Valor is finished.,"Depending on how it is pronounced, this name can also mean the exact opposite (i.e. Valor isn't finished). Akín-ìn-tán. Unfortunately, they're written in the same way: Akíntán, because of the limits of modern orthography.","[{'akin': ' - valor, bravery'}]",yoruba
Akíntóyè,-,Valor is equal to chieftaincy.,unknown,,yoruba
Akíntúndé,akin-tún-dé,The hero/valiant one has returned.,unknown,"[{'akin': ' - valor, valiant one'}]",yoruba
Akíntọ̀mídé,akin-tọ̀-mí-dé,Valor finds me.,See also: Akíntọ̀míwá,[{'akin': ' - valor'}],yoruba
Akíntọ̀míwá,-,Valor comes to me.,unknown,,yoruba
Akíntọ̀ndé,akin-ti-ọ̀hún-dé,Valor comes to me.,unknown,"[{'akin': ' - valor, bravery, heroism'}]",yoruba
Akíntọ̀nwá,-,Valor comes to me.,unknown,,yoruba
Akínwàlérè,-,There is valor as a reward.,unknown,,yoruba
Akínwálé,-,Valor has come home.,unknown,,yoruba
Akínwándé,akin-wá-n-dé,Valor sought me here.,unknown,"[{'akin': ' - valor, bravery, heroism'}]",yoruba
Akínwùnmí,akin-wùn-mí,Valor attracts me.,unknown,"[{'akin': ' - valor, bravery'}]",yoruba
Akínwùsì,-,unknown,unknown,,yoruba
Akínyẹlé,-,Valor is worthy of the house.,unknown,,yoruba
Akínyẹmí,akin-yẹ-mí,I'm well-suited to valor.,unknown,[{'akin': ' - valor'}],yoruba
Akínṣìkù,akin-ṣì-kù,Valor remains still.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akínṣọlá,akin-ṣe-ọlá,Valor makes wealth.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akíyọdé,-,Akínyọdé,unknown,,yoruba
Akòfẹ́,a-kò-fẹ́,One to be met and married.,"A cognomen, oríkì.",[{'a': ' - one who (is)'}],yoruba
Akóredé,a-kó-ire-dé,One who brings gifts.,"This child's birth comes at a time when many positive developments happened to the family, or the birth comes in anticipation of plenty good things.",[{'a': ' - one who'}],yoruba
Akórewá,a-kó-ire-wá,One who brings goodness.,unknown,[{'a': ' - someone'}],yoruba
Akótipópó,a-kó-ti-pópó,One who follows the highway or street.,A nickname or cognomen.,[{'a': ' - one who'}],yoruba
Akúrúyẹjó,a-kúrú-yẹ-ijó,One short but dignified on the dance floor.,A cognomen for short people.,[{'a': ' - someone'}],yoruba
Akéwúgbowó,a-kéwú-gba-owó,One who recites the Quran and is given money.,unknown,[{'a': ' - someone'}],yoruba
Akéwúlérè,a-kéwú-lérè,One who becomes successful by the business of Quran recitals.,unknown,[{'a': ' - someone'}],yoruba
Akéúṣọlá,a-ké-ú-se-ọlá,He who makes wealth through the knowledge of Arabic.,It's very specific to muslim Yoruba people. Especially around the Kwara-Ilorin subregion od Yorubaland.,[{'a': ' - one who'}],yoruba
Akíndayọ̀mi,-,unknown,unknown,,yoruba
Akíndàmọlá,akin-dà-mọ́-ọlá,Bravery is mixed with success.,See also: Oyíndàmọ́lá,"[{'akin': ' - valor, bravery'}]",yoruba
Akíndáhùnsi,akin-dáhùn-síi,Valor answered again.,Originated from Igbemo-Ekiti.,"[{'akin': ' - valor, bravery'}]",yoruba
Akíndèjì,akin-di-èjì,We're now twice as brave as we used to be.,"Given to the second boy child in a family where there are two boys especially because men are known for bravery in Yorubaland.

See: Akíndiméjì","[{'akin': ' - bravery, valor'}]",yoruba
Akíndẹ̀hìndé,akin-da-ẹ̀hìn-dé,Valor has returned. [verification needed],unknown,"[{'akin': ' - valor/valiant, bravery/brave one'}]",yoruba
Akíndẹ̀ìndé,akin-da-ẹ̀ìn-dé,Akin has returned. [verification needed],unknown,"[{'akin': ' - valor/valiant, bravery/brave one'}]",yoruba
Akíndẹ̀yìndé,akin-da-ẹ̀yìn-dé,The valiant one has returned.,unknown,"[{'akin': ' - valor/valiant, bravery/brave one'}]",yoruba
Akíngunọlá,akín-gun-ọlá,Valour rode (rides) on wealth.,unknown,[{'akín': ' - valour (valiant one)'}],yoruba
Akínjọlé,akin-jọ-ilé,Valor resembles (its) home.,unknown,"[{'akin': ' - valor, bravery'}]",yoruba
Akínlémibọ́lá,akin-lé-mi-bá-ọlá,Valor chased me into wealth.,unknown,"[{'akin': ' - valor, bravery'}]",yoruba
Akínmútìmí,akin-mú-tì-mí,Bravery/courage brought this to me.,This name is usually given to make children who are born when either of the parents has gone through some form of travail before of during the child's pregnancy.,"[{'akin': ' - valor, courage'}]",yoruba
Akínrelẹ́rẹ̀,akin-re-ilé-rẹ̀,The valiant one has gone to his home.,"This is a name typically given to a boy child born shortly after the death of a prominent patriarch, usually the grandfather.","[{'akin': ' - valiant one, brave one'}]",yoruba
Akínrìnóyè,-,Valor walks right into chieftaincy.,unknown,,yoruba
Akínríbídé,akin-rí-ibi-dé,Valour has found a place to rest.,See: Akínríbidésí,"[{'akin': ' - valor, bravery'}]",yoruba
Akínrọ́labú,akin-rọ́-la-ibú,Valor jumps into the deep.,unknown,"[{'akin': ' - valor, bravery, the brave one'}]",yoruba
Akíntibúbọ̀,akin-ti-ibú-bọ̀,The valiant one returns from the (Ocean) deep.,unknown,[{'akin': ' - valiant one'}],yoruba
Akínyínká,akin-yí-n-ká,I am surrounded by warriors.,unknown,[{'akin': ' - the brave/valiant one'}],yoruba
Akẹ́yẹwálé,a-kò-èyẹ-wá-ilé,The one that brings home laurels.,unknown,[{'a': ' - someone'}],yoruba
Akọgun,a-kọ-ogun,One who repels war. The warrior. Brave one.,unknown,[{'a': ' - someone'}],yoruba
Akọni,akọ-ni,The brave one.,unknown,"[{'akọ': ' - male, masculine, hard'}]",yoruba
Akọ́gà,a-kọ́-igà,Builder of palaces.,unknown,[{'a': ' - someone'}],yoruba
Akọ́mọláfẹ́,a-kọ́-ọmọ-ní-afẹ́,One who teaches children how to be fancy.,unknown,[{'a': ' - one who'}],yoruba
Akọ́mọlédè,a-kọ́-ọmọ-ní-èdè,A language instructor.,unknown,[{'a': ' - someone'}],yoruba
Akọ́ládé,a-kó-ọlá-dé,One who brings success.,unknown,[{'a': ' - one who'}],yoruba
Ala Iña,o̩lá-ní-ìyan,"Among practitioners of Cuban Òrìṣà tradition, the Yorùbá-based religious tradition that developed in the island of Cuba, the name Ala Iña is said by practitioners to mean ""the mantle of fire (from the core of the earth)."" It is a name given to initiates of Santería/Lucumí. The name is derived from the Yorùbá name ""O̩láníyan,"" which, in Yorùbá language, means ""wealth/nobility has a proud gait/swagger."" In Yorùbá culture it is given to a newborn as a result of a birth within nobility.","This name is used for some initiates within Cuban Òrìṣà tradition, known alternately as Santería, Lucumí, or Regla de Ocha.","[{'o̩lá': ' - wealth, nobility'}]",yoruba
Aladodo,-,unknown,unknown,,yoruba
Alábìdun,a-ní-àbìdun,[unknown],unknown,[{'a': ' - one who'}],yoruba
Alábẹléwé,oni-abẹ-ní-ewé,One with a razor on the leaves.,unknown,[{'oní': ' - the owner of'}],yoruba
Alábẹ́rẹ́,oní-abẹ́rẹ́,One who ha syringe.,unknown,[{'oní': ' - the owner of'}],yoruba
Aládéga,a-ní-adé-ga,The owner of the crown is tall/big.,unknown,[{'a': ' - one who'}],yoruba
Aládégoróyè,oní-adé-gun-orí-oyè,The owner of the crown has ascended the throne.,"This child was born when the father became an important person in society, most likely a king.",[{'oní': ' - the owner of'}],yoruba
Aládéìsùn,aládé-ìí-sùn,Royalty never sleeps.,unknown,"[{'aládé': ' - crowned head, royalty'}]",yoruba
Aládéjánà,aládé-já-ọ̀nà,The royal one has found the (right) path.,Kingship family of Iworoko Ekiti,"[{'aládé': ' - crowned head, royalty'}]",yoruba
Aládéjọbí,a-ní-adé-jọ-bí,The crowned one jointly birthed this.,unknown,[{'a': ' - one who'}],yoruba
Aládékọmọ,a-ní-adé-è-kọ-ọmọ,1. The paternity of the child is not in dispute. 2. Royalty does not reject children.,unknown,[{'a': ' - one who'}],yoruba
Aládémúrewá,aládé-mú-ire-wá,The royal head has brought good fortune.,unknown,"[{'aládé': ' - crowned head, royalty'}]",yoruba
Aládéníyì,oní-adé-ní-iyì,One with the crown has worth,unknown,[{'oní': ' - the owner/bearer of'}],yoruba
Aládéògo,a-ní-adé-ògo,The owner of a glorious crown.,unknown,[{'a': ' - one who'}],yoruba
Aládéòjẹ̀bi,aládé-kò-jẹ̀bi,Royalty isn't (ever) guilty.,unknown,[{'aládé': ' - the crowned head'}],yoruba
Aládéòtán,aládé-ò-tán,Royalty never ends.,unknown,"[{'aládé': ' - royalty, King'}]",yoruba
Aládésanmí,aládé-san-mí,Royalty befits me.,unknown,"[{'aládé': ' - crowned head, royalty'}]",yoruba
Aládétóyìbó,aládé-tó-òyìnbó,The royal head is as prominent as the white man.,unknown,"[{'aládé': ' - the crowned head, royalty'}]",yoruba
Aládétóyìnbó,aládé-tó-òyìnbó,The crowned head.,unknown,[{'aláde': ' - a crowned head'}],yoruba
Aládéyẹ̀lú,aládé-yẹ-ìlú,The king befits the town.,unknown,"[{'aládé': ' - crowned head, royalty'}]",yoruba
Aláfẹ́,a-ní-afẹ́,The fanciful one.,unknown,[{'a': ' - one who'}],yoruba
Alága,a-ní-àga,Chairman.,unknown,[{'a': ' - one who'}],yoruba
Alágbàlá,a-ní-àgbàlá,The one with a (wide) courtyard.,unknown,[{'a': ' - one who'}],yoruba
Aláká,a-ní-àká,The owner of the barn.,"""In the days when our forefathers were farmers, they kept yams in the barn. The size of a farmer's barn indicates the level of his wealth. The first bearer of the name was a warrior and farmer originally from present-day Niger State. He was a Nupe man who migrated to present-day Yorùbáland with Oshodi."" [verification needed]",[{'a': ' - one who'}],yoruba
Aláké,o-ní-aké,The owner of Aké.,"This is the official title of the paramount chief/king of Abẹ́òkuta, the Aláké of Ẹgbáland.",[{'a': ' - one who'}],yoruba
Alákijà,-,unknown,unknown,,yoruba
Alákísà,a-ní-àkísà,One who wears/sells rags. [verification needed].,"[Anyone with extra information about this name should please add it using the ""improve this entry"" button above]",[{'a': ' - one who'}],yoruba
Alákùrọ̀,oní-àkùrọ̀,The owner of swamps. The swamp dweller.,A nickname.,[{'oni': ' - the owner of'}],yoruba
Alálàdé,oní-àlà-dé,1. The bearer of Ọbàtálá's white garmet is here. 2. The dreamer is here.,"The name is better spelt as Alálàádé, but for the limitations in modern orthography.","[{'oní': ' - the owner of, the bearer of'}]",yoruba
Alánàmú,oní-à-nà-mú,One we have to stretch to catch.,This is the title of one of the four Balóguns in Ìlọrin,[{'oní': ' - owner of'}],yoruba
Alápinni,[unknown],Another way of writing Alápini. [meaning unknown],unknown,[{None: ' - '}],yoruba
Alárán,a-ní-àrán,The one with the velvet.,"The meaning can also be said to be ""the owner of riches"", since the velvet is an expensive clothing material.

Note on orthography: The name is generally spelt as Alárán, but the phonological mapping should normally render it as ""Aláràán"" which is the correct spelling.",[{'a': ' - one who'}],yoruba
Aláshẹ́,a-ní-aṣẹ́,The owner of the sieve.,unknown,"[{'a': ' - we, one who'}]",yoruba
Aláta,a-ní-ata,A seller of pepper.,unknown,[{'a': ' - one who'}],yoruba
Alátiṣe,a-ní-àtiṣe,One ready to work.,unknown,[{'a': ' - one who'}],yoruba
Aláwàyè,a-ní-àwàyè,One who drives safely (to live).,unknown,[{'a': ' - one who'}],yoruba
Aláwodúdú,aláwo-dúdú,The dark-skinned oracle man.,unknown,[{'aláwo': ' - medicine/oracle man'}],yoruba
Aláyàbíag̀bá,a-ní-àyà-bí-àgbá,One with a chest is like a barrel.,"A cognomen, oríkì.",[{'a': ' - one who'}],yoruba
Aláyọ̀lolúwa,aláyọ̀-ni-olúwa,God is a joyous being.,unknown,[{'aláyọ̀': ' - joyous being'}],yoruba
Aláṣelà,aní-àṣelà,One who works and is successful.,A cognomen.,[{'aní': ' - one who'}],yoruba
Aláṣeyọrí,a-ní-àṣeyọrí,The successful one.,unknown,[{'a': ' - one who'}],yoruba
Aláṣẹ́,a-ní-aṣẹ́,The owner of the sieve. [verification needed],unknown,[{'a': ' - one who'}],yoruba
Aláṣọàdúrà,a-ní-aṣọ-àdúrà,One with garments of prayer.,unknown,[{'a': ' - one who'}],yoruba
Aládémọmi,-,The owner of the crown knows me.,unknown,,yoruba
Alákindé,oní-akin-dé,The valiant one is here.,unknown,[{'oní': ' - the owner of'}],yoruba
Alápini,-,unknown,unknown,,yoruba
Alárápé,a-ní-ará-pé,The one with family is complete.,unknown,[{'a': ' - one who'}],yoruba
Aláwiyé,-,One who speaks until people understand.,unknown,,yoruba
Aláwodé,aláwo-dé,The elders of secrets have arrived.,unknown,[{'aláwo': ' - elders of secrets'}],yoruba
Aláyàndé,a-ní-àyàn-dé,The drummer has arrived.,unknown,[{'a': ' - one who'}],yoruba
Ale,a-le,The tough one.,unknown,[{'a': ' - someone'}],yoruba
Alègbẹjọ́,alálè-gba-ẹjọ́,'From Kogi',unknown,[{'alálè': ' - the one who owns the earth (onílẹ̀)'}],yoruba
Alèṣe,a-lè-ṣe,Omnipotent.,This is one of the common appellations for God. The full name is Alèṣe-lè-wí.,[{'a': ' - one who'}],yoruba
Alébíosù,a-lé-bí-osù,One as glorious as the moon.,See also: Alebíotsu,[{'a': ' - one who'}],yoruba
Alébíotsù,a-lé-bí-otsù,The one who appears regally like the moon.,This is a common spelling in Benin (Ketou) of Alébíoṣù.,[{'a': ' - PREFIX (agent)'}],yoruba
Alògbà,a-lo-ìgbà,One currently enjoying fame.,unknown,[{'a': ' - one who'}],yoruba
Alókoláàró,a-ní-oko-ní-àáró,One with farms and a cooperative society to till it. A wealthy person.,Commonly written as Alókoláró,[{'a': ' - someone'}],yoruba
Alókoláró,a-ní-oko-ní-àáró,One with big farms and enough resources to have others manage it for him.,unknown,[{'a': ' - one who'}],yoruba
Alómájá,a-lọ́-má-já,One who twists (something) but never snaps (it).,"It's a praise-name, a cognomen.",[{'a': ' - one who'}],yoruba
Alówóńlé,a-ní-owó-ní-ilé,One with money at home.,unknown,[{'a': ' - one who'}],yoruba
Alóyinlápá,a-ló-yin-ní-apá,One with honey on his arms.,unknown,[{'a': ' - one who'}],yoruba
Alóyinlóhùn,a-ní-oyin-ní-ohùn,One with honey in his voice.,"It's a cognomen for someone with a sweet, pleasant, voice.",[{'a': ' - one who'}],yoruba
Alóńgẹ́,a-rí-lẹ́gẹ́lẹ́gẹ́,A person of slim and slender build.,An oríkì.,[{'a': ' - one'}],yoruba
Alùbáríkà,Alùbáríkà,"Arabic origin, meaning blessing",unknown,[{'barika (بركة)': ' - blessing'}],yoruba
Alùfóge,a-lù-fún-oge,One who beats (drums) for the fashionable.,unknown,[{'a': ' - someone'}],yoruba
Alábàjà,a-ní-àbàjà,One with àbàjà tribal marks on his/her cheek.,"A cognomen, oríkì.",[{'a': ' - someone'}],yoruba
Aládéjubẹ́lọ,aládé-jù-bẹ́ẹ̀-lọ,The crowned one is beyond anyone else.,unknown,[{'aládé': ' - a crowned head'}],yoruba
Aládéọ̀kín,-,The owner of the crown of peacocks.,unknown,,yoruba
Alágoméjì,a-ní-aago-méjì,The bearer of two gongs.,unknown,[{'a': ' - one who'}],yoruba
Aláwonílé,a-ní-awo-ní-ilé,We (now) have an Ifa initiate/priest in our home/family.,unknown,[{'a': ' - one who'}],yoruba
Aláwoyà,aláwo-yà,An Ifá initiate/priest has detoured (born into our home).,unknown,[{'aláwo': ' - Ifá initiate'}],yoruba
Alóko,a-ní-oko,He who has a farm.,unknown,[{'a': ' - someone'}],yoruba
Alóládé,a-ní-ọlá-dé,The wealthy one has arrived.,See: Ọlọ́ládé,[{'a': ' - someone'}],yoruba
Alùfógejó,a-lù-fún-oge-jó,One who beats (drums) for the fashionable (youth) to dance to.,unknown,[{'a': ' - someone (who)'}],yoruba
Alẹ́gbẹ́lẹ́yẹ̀,a-ní-ẹgbẹ́-ní-ẹ̀yẹ,1. Someone who has class and honour. 2. Whoever exists in a team has honour.,unknown,[{'a': ' - one who'}],yoruba
Alẹ́shinlọ́yẹ́,a-ní-ẹṣin-ní-ọyẹ́,One with a horse in Harmattan.,unknown,[{'a': ' - one who'}],yoruba
Alẹ́ṣinlọ́yẹ́,a-ní-ẹsin-ní-ọyẹ́,One with a horse in Harmattan.,unknown,[{'a': ' - one who'}],yoruba
Alẹ́yinlọ́bẹ̀,a-ní-ẹyin-ní-ọbẹ̀,One with eggs in his soup.,unknown,,yoruba
Alọfẹ,-,He who uses the power to disappear.,unknown,,yoruba
Alọ́,a-lọ́,One who can twist (but not break).,"Short form of Alọ́májàá.
A cognomen.",[{'a': ' - someone'}],yoruba
Alọ́lá,a-ní-ọlá,We have wealth.,unknown,[{'a': ' - we'}],yoruba
Alọ́móge,a-lọ́-mọ́-oge,One who wraps him/herself around beauty.,unknown,[{'a': ' - one who'}],yoruba
Alọ́ba,"aní-ọba, a-ní-ọba",1. Owner of kings. 2. We have kings (in our family).,unknown,[{'aní': ' - the owner of'}],yoruba
Amaku,-,unknown,unknown,,yoruba
Ambọ̀dé,a-mú-bọ̀-dé,One we brought back (from a journey).,unknown,[{'a': ' - one that (is)'}],yoruba
Amíníwọ̀n,a-mí-ní-ìwọ̀n,One who breathes gently.,unknown,[{'a': ' - one who'}],yoruba
Amósù,a-mú-osù,"One who has taken/received the ""osù""( kingship).",unknown,[{'a': ' - one who'}],yoruba
Amógunlà,-,One who uses wars to survive.,unknown,,yoruba
Amùkòkò,a-mu-ìkòkò,One who smokes tobacco through a pipe.,unknown,[{'a': ' - one who'}],yoruba
Amúlùdún,a-mú-ìlú-dùn,The entertainer.,"This name is usually found as a nickname than a proper name, but many have been noted to use it as a personal name.",[{'a': ' - one who'}],yoruba
Amúnígun,-,One with sharp edges.,unknown,[{None: ' - '}],yoruba
Amúpìtàn,a-mú-pa-ìtàn,Someone (that will be) used to tell stories (or testimonies).,"See also: Ẹniìtàn, Fèyíṣètàn",[{'a': ' - someone'}],yoruba
Amúrawáíyé,a-múra-wá-aiyé,One who is well prepared for entering the world.,unknown,[{'a': ' - one who'}],yoruba
Amúrawáyé,a-múra-wá-ayé,One who is well-prepared for entering the world.,unknown,[{'a': ' - one who'}],yoruba
Amúsàán,A-mù-ìṣàán,One that holds the Eégún's whip. Like an Eégún priest in training,"Commonly spelt as ""Amúsan""",[{'A': ' - one who'}],yoruba
Amúsàn,-,"This is a traditional Yorùbá name given to a baby boy born with a membrane covering his head, thus looking like a masquerade. (Babalọlá & Àlàbá (2003)","""Amúsàn is someone from Masquerade (Elégún) family, or someone who is versed, or enchants Ẹ̀sà eégún."" - User commentary.",[{None: ' - '}],yoruba
Améjidé,a-mú-eji-dé,The bringer of rain.,unknown,[{'a': ' - someone'}],yoruba
Amósùn,a-mú-òsùn,The bearer of Ifá staff.,See also: Ẹmósùn,[{'a': ' - one who'}],yoruba
Amúbíẹyá,a-mú-bí-ẹyá,One who's as sharp as the knife.,unknown,[{'a': ' - someone'}],yoruba
Amúdípè,a-mú-dípẹ̀,A child of consolation.,unknown,[{'a': ' - one who (is)'}],yoruba
Amẹwà,a-mọ-ẹwà,One who sees beauty.,unknown,[{'a': ' - someone'}],yoruba
Amẹ́lẹ̀,a-mú-ẹ̀lẹ̀,One conditioned to gentleness.,unknown,[{'a': ' - one who'}],yoruba
Amọ̀kòkò,a-mọ-ìkòkò,Potter.,unknown,[{'a': ' - someone'}],yoruba
Amọ̀nà,a-mọ-ọ̀nà,The guardian. One who knows the way.,unknown,[{'a': ' - one who'}],yoruba
Amọ̀nìyàn,a-mọ-ènìyàn,One who knows people (in the right places).,unknown,[{'a': ' - one who'}],yoruba
Amọ̀ṣe,a-mọ̀-ṣe,One who knows how to do it. The capable one.,unknown,[{'a': ' - one who'}],yoruba
Amọ́dẹmájá,a-mú-ọdẹ-mọ́-ajá,One brave enough to arrest both the hunter and his dog.,unknown,[{'a': ' - one who'}],yoruba
Amọ́gbọ́njaiyé,a-mú-ọgbọ́n-jẹ-ayé,Living with wisdom.,unknown,[{'a': ' - one who'}],yoruba
Amọ́jẹ̀,[unknown],[unknown],unknown,,yoruba
Amọ́lẹ́gbẹ́,a-mọ́-ní-ẹgbẹ́,One pure in company.,unknown,[{'a': ' - one who'}],yoruba
Amọ́lẹ́wà,a-mọ́-ní-ẹwà,The one who is bright in beauty.,unknown,[{'a': ' - someone'}],yoruba
Anfọlájùwọ́n,a-ń-fi-ọlá-jù-wọ́n,We surpass them with wealth.,unknown,[{'a': ' - we'}],yoruba
Aniyìkáyé,-,One of tremendous worth around the world.,unknown,,yoruba
Aníbalóyè,a-ní-ba(ba)-ní-oyè,We have a father in position (or authority).,unknown,"[{'a': ' - we, someone who'}]",yoruba
