name,transcription,meaning,gender,language
Oramalu,/Ọra-malụ/,May the people know,m,igbo
Oraka,/Ọra-ka/,The people are superior,m,igbo
Orajekwe,/Ọra-ja-ekwe/,The people shall approve/accept it.,m,igbo
Oputa,-,unknown,-,igbo
Oparanta,/Ọpara-nta/,Small,m,igbo
Orachili,/Ọra-chịlị/,The people ruled/led,m,igbo
Opara,/Ọpara/,The first male child of the family,m,igbo
Oraekwu,/Ọra-ekwu/,unknown,-,igbo
Orabueze,/Ọra-bụ-eze/,The people are king,m,igbo
Orabuenyi,/Ọra-bụ-enyi/,The people are the elephant,m,igbo
Oparanozie,/Ọpara-Anọzịe/,The first male child has found his footing or has found stability or taken a vantage position.,m,igbo
Onyinye,/Onyinye/,Gift,f,igbo
Onyeukwu,/Onye-Ukwu/,The great one,m,igbo
Onyeuko,/Onye-uko/,One who is proud,m,igbo
Onyirimba,/Onyịrị-mba/,Something or one who has proved insurmountable for the nation,m,igbo
Onyiuke,/Ọ-nyịa-uke/,It has wearied/proved insurmountable for,m,igbo
Onyinyechi,/Onyinye-chi/,unknown,Gift from God,igbo
Onyiorah,/Ọnyị-ọra/,Something or one who has proved insurmountable for the people,f,igbo
Onyewuchi,/Onye-wu-Chi/,Who is god (unto another)?,m,igbo
Onyenyilionwu,/Onye-nyịlị-ọnwụ/,Who has overcome death or Who is incapable of dying?,m,igbo
Onyekwelu,/Onye-kwelu/,Who is worthy?,m,igbo
Onyema,/Onye-ma/,Who knows?,m,igbo
Onyemaechi,/Onye-ma-echi/,Who knows what tomorrow will bring?,m,igbo
Onyeso,/Onye-so/,Who is accompanying me?,m,igbo
Onyeogu,/Onye-ọgụ/,A fighter/warrior,m,igbo
Onyemelukwe,-,unknown,-,igbo
Onyenaucheya,/Onye-na-uche-ya/,Each to his thought/mind,m/f,igbo
Onyejiako,/Onye-ji-akọ/,Who wields wisdom?,m,igbo
Onyekachi,/Onye-ka-Chi/,Who is greater than God?,m/f,igbo
Onyejiaku,/Onye-ji-akụ/,Who holds wealth?,m,igbo
Onyekaonwu,/Onye-ka-ọnwụ/,Who is mightier than Death?,m,igbo
Onyejiaka,/Onye-eji-aka/,One by which we surpass,m,igbo
Onyejeli,/Onye-je-eli/,Who would eat?,m/f,igbo
Onyejekwu,/Onye-jekwu/,Who will speak,m,igbo
Onyekuru,/Onye-kuru/,Who sowed,m,igbo
Onyejekwe,/Onye-jee-ekwe/,Who would approve/accept (it)?,m,igbo
Onyeisi,/Onye-isi/,The Head,m,igbo
Onyedikachi,/Onye-dị-ka-Chi/,Who is comparable to God?,m/f,igbo
Onyedika,/Onye-dị-ka/,unknown,-,igbo
Onyechi,/Onye-Chi/,God's own,m,igbo
Onyebueke,/Onye-bụ-eke/,Who (which man) is,m,igbo
Onyebuchi,/Onye-bụ-Chi/,Who is god (unto another)?,m,igbo
Onyebeke,/Onye-bụ-Eke/,unknown,m,igbo
Onwuzurume,/Ọnwụ-zuru-ka-emee/,Death is formidable or capable,m,igbo
Onyeaka,/Onye-aka/,My helper,m,igbo
Onyeama,-,unknown,-,igbo
Onyeagba,-,unknown,-,igbo
Onwuzulume,/Onwu-zulu-me/,unknown,-,igbo
Onyeachonam,/Onye-achọna-m/,None should incite or agitate me,m,igbo
Onwuzurike,/Ọnwụ-zuru-ike/,Let death take a rest,m,igbo
Onyeanwuna,/Onye-anwụna/,No one should die,m,igbo
Onwuzalume,/Ọnwụ-zalụ-Ume/,The death that heed the noble man,m,igbo
Onwusoba,/Ọnwụ-sọba/,May death continue to find us unappealing,m,igbo
Onwuseraka,/Ọnwụ-sere-aka/,unknown,May death hands off,igbo
Onwumbiko,/Ọnwụ-m-biko/,"My Death, please.",m,igbo
Onwura,/Ọnwụ-raa/,May death leave us.,m,igbo
Onwumelu,/Ọnwụ-melụ/,Death wrought,m,igbo
Onwuria,/Oṅụrịa/,unknown,He/She rejoices,igbo
Onwuteaka,/Ọnwụ-tee-aka/,May death stay far away,m,igbo
Onwukwalu,/Ọnwụ-kwalụ/,May death vacate,m,igbo
Onwughalu,-,unknown,-,igbo
Onwukwe,/Ọnwụ-kwe/,May death permit (someone to live),m,igbo
Onwukaeme,/Ọnwụ-ka-eme/,Death does the most,m,igbo
Onwuliora,/Ọnwụ-liri-ọra/,Death (that) ravaged a people,m,igbo
Onwujioke,/Ọnwụ-ji-oke/,It is death who holds creation,m,igbo
Onwujiaku,/Ọnwụ-ji-akụ/,Death holds wealth,m,igbo
Onwuli,-,unknown,-,igbo
Onwuegbune,/Ọnwụ-egbune/,May death not strike,m,igbo
Onwuegbulam,/Ọnwụ-egbula-m/,May death not kill me.,m,igbo
Onwuegbuzia,/Ọnwụ-egbu-zia/,And Death strikes again,m,igbo
Onwuezurike,/Ọnwụ-ezuru-ike/,Death has taken a rest,m,igbo
Onwudiwe,/Ọnwụ-di-iwe/,Death provokes anger,m,igbo
Onwudinjor,/Ọnwụ-dị-njọ/,Death is terrible,m,igbo
Onwuemelie,/Ọnwụ-emeli-e/,Death has won,m,igbo
Onwuegbusi,/Ọnwụ-egbusi/,Death has annihilated,m,igbo
Onwudebe,/Ọnwụ-debe/,May death keep/preserve (me),m,igbo
Onwuasor,/Ọnwụ-asọ/,unknown,m,igbo
Onwuazor,/Ọnwụ-azọ/,Death saved,m,igbo
Onwuatuelo,/Ọnwụ-atụ-elo/,Death does not inform/reason with its victim (before it strikes),m,igbo
Onwubiko,/Ọnwụ-biko/,"Death, please.",m,igbo
Onwuaraghi,/Ọnwụ-araghị/,Death holds on tenaciously,m,igbo
Onwuasoanya,/Ọnwụ-asọ-anya/,Death is irreveren,m,igbo
Onwualor,/Ọnwụ-alọ/,Death has returned,m,igbo
Onwe,/Onwe/,Self,m,igbo
Onuzulike,/Ọnụ-zulu-ike/,May (slanderous) voices rest,m,igbo
Onunze,/Ọnụ-Nze/,The mouth of an,m,igbo
Onumba,/Ọnụ-mba/,The mouth of the nation,m,igbo
Onuorah,/Ọnụ-ọra/,The mouth of the people,m,igbo
Onwu,/Ọnwụ/,Death.,m,igbo
Onumajulu,/Ọnụma-jụlụ/,A wrath has been pacified,m,igbo
Onuigbo,/Ọnụ-igbo/,The mouth of the Igbo nation,m,igbo
Onuekwusi,-,unknown,-,igbo
Onuabuchi,/Ọnụ-abughị-chi/,The mouth is no one's,m,igbo
Onubuogu,/Ọnụ-bụ-ọgụ/,A mouth triggers war,m,igbo
Onuegbu,/Ọnụ-egbu/,One who can't be killed or who refuses to be cowered by slander,m,igbo
Onubiyi,-,unknown,-,igbo
Onovo,-,unknown,-,igbo
Onuachu,/Ọnụ-achụ/,"One who would not, because of slanderous words, flee or yield his/her place.",m,igbo
Onuchukwu,/Ọnụ-chukwu/,God's mouth,m,igbo
Ononenyi,/Ọnọ-na-enyi/,1. One who sits on the elephant,m,igbo
Ononuju,/Ọ-nọ-na-uju/,One who sits in the midst of abundance,m/f,igbo
Ononihu,/Ọnọ-na-ihu/,One who leads; leader,m,igbo
Onochie,/Ọnọchi-e/,One who sits or stands in stead of another.,m,igbo
Onike,-,unknown,-,igbo
Oniah,-,unknown,-,igbo
Ononye,/Ọ-nọnye/,unknown,m/f,igbo
Onodugo,/Ọnọdụ-ugo/,A position of honor/excellence,f,igbo
Omenni,-,unknown,-,igbo
Onele,-,unknown,-,igbo
Onenyi,/Ọnọ-enyi/,unknown,-,igbo
Onah,-,unknown,-,igbo
Omile,/Ome-ịle/,One who brings things to reality,m,igbo
Omeokachie,/Ome-ọkachie/,One who does and seals it,m,igbo
Omenugha,/Ome-na-ụgha/,(They) act in vain,m,igbo
Onejeme,/One-jee-eme/,How many more would happen?,m/f,igbo
Omaliko,/Ọmaliko/,A deity of the Abatete people,m,igbo
Omenankiti,/O-me-na-nkịtị/,unknown,m,igbo
Oluchukwu,/Ọlu-Chukwu/,The works of God,f,igbo
Omenka,/Òmé-nkà/,A creative genius; a crafts-person,m,igbo
Omelonye,/Omelụ-onye/,Who did she/he wrong?,m,igbo
Omeliora,/O-meli-ọra/,The benefactor of the people,m,igbo
Omasilachi,/Ọ-masịla-chi/,It has pleased God,m/f,igbo
Oluomachukwu,/Ọlu-ọma-Chukwu/,The good works of God,f,igbo
Olisama,/Olisa-ma/,knows.,m,igbo
Olisah,/Olisa/,unknown,-,igbo
Olise,/Olise/,The Lord who bears the weight of the world.,m,igbo
Olisakwe,/Olisa-kwe/,May,m,igbo
Olisaemeka,/Olisa-emeka/,did so well,m,igbo
Olisadebe,/Olisa-debe/,May,m,igbo
Oliseh,/Olise/,The Lord who bears the weight of the world.,m,igbo
Olisa,/Olisa/,unknown,m,igbo
Okwuosa,/Okwu-osa/,1. The word of,m,igbo
Okwunwa,/Okwu-nwa/,The case for a child,m/f,igbo
Olamma,/Ọ́là-mmá/,A gem of beauty,f,igbo
Olaedo,/Ọ́là-èdò/,Precious stone for decoration.,f,igbo
Olaocha,/Ọ́là-ọ́chà/,Silver,f,igbo
Olachi,/Ọla-chi/,God's gem,f,igbo
Okwute,/Okwute/,Rock,m,igbo
Oli,-,unknown,-,igbo
Okwudiri,/Okwu-dịrị/,unknown,m/f,igbo
Okwundu,/Okwu-ndụ/,1. Word of life; life giving word,m,igbo
Okwudinjo,/Ókwú-dị̀-njọ́/,Strife is bad,m,igbo
Okwudirichukwu,/Okwu-dịrị-chukwu/,unknown,Let God be the Judge,igbo
Okwunna,/Ókwú-nnà/,1. Word of the father.,m,igbo
Okwuka,/Okwu-ka/,unknown,To many matter/strife. ,igbo
Okwuma,-,unknown,-,igbo
Okwuego,-,unknown,-,igbo
Okwuchukwu,/Okwu-Chukwu/,1. The word/decree of,m,igbo
Okwudile,/Okwu-dị-ịle/,A word that is potent; A word that came true.,m,igbo
Okwesirieze,/O-kwesịrị-eze/,1. Something befitting of a king,m,igbo
Okukwe,/Okwukwe/,unknown,Faith,igbo
Okwuchi,/Okwu-Chi/,1. The word/decree of,f,igbo
Okwudili,/Okwu-dịlị/,unknown,m/f,igbo
Okwara,/Ọkwara/,The first male child,m,igbo
Okuefuna,/Okuefuna/,May the treasure not be lost,m/f,igbo
Okudo,/Ọkụ-udo/,deity's treasure,m,igbo
Okparanozie,/Ọkpara-Anọzịe/,The first male child has found his footing or has found stability or taken a vantage position.,m,igbo
Okparaku,/Ọkpara-Akụ/,First Child of wealth.,m,igbo
Okpala,/Ọkpala/,The first male child of the family or oldest member of the family,m,igbo
Okpachie,-,unknown,-,igbo
Okpara,/Ọkpara/,The first male child of the family,m,igbo
Okpaleke,/Okpala-Eke/,The first son of creation,m,igbo
Okuani,/Ọkụ-anị/,deity's treasure,m,igbo
Okoroabia,/Okoro-abịa/,A man has come.,m,igbo
Okosa,/Oke-Osa/,God's portion or creation.,m,igbo
Okoronkwo,/Okoro-Nkwọ/,A man born on the,m,igbo
Okorogu,/Okoro-ọgụ/,A man of war.,m,igbo
Okorocha,/Okoro-ọcha/,Fair complexioned male child.,m,igbo
Okoroafor,/Okoro-afọ/,A man born on the,m,igbo
Okose,/Oke-Ose/,God's portion or creation.,m,igbo
Okoye,/Okoro-Oye/,A man born on,m,igbo
Okolo,/Okolo/,A man,m,igbo
Okolinta,/Okoli-nta/,Younger,m,igbo
Okonjo,-,unknown,-,igbo
Okolobu,/Okolo-Obu/,The man of the household,m,igbo
Okonkwo,/Oko-Nkwọ/,﻿ A man born on,m ,igbo
Okongwu,/Oko-Ngwu/,unknown,m,igbo
Okolue,-,unknown,-,igbo
Okoro,/Okoro/,A man or a male child,m,igbo
Okiwe,/Oke-iwe/,Great Anger,m,igbo
Okike,/Okike/,The creative process,m,igbo
Okodugbo,/Ọ-ka-ọdụ-gboo/,As it has been since time.,m,igbo
Okocha,/Oko-ọcha/,unknown,Fair complexioned male child.,igbo
Okoligwe,/Okolo-igwe/,A man in the heavens,m,igbo
Okoli,/Okoli/,A child born on,m,igbo
Okigbo,/Ọka-igbo/,One greater than all Igbo,m,igbo
Okiche,/Oke-iche/,A great missile,m,igbo
Okenyeka,/Oke-enye-ka/,unknown,m,igbo
Okezie,/Okezie/,One has made a fair apportionment.,m,igbo
Okenna,/Oke-nna/,Father's portion or creation.,m,igbo
Okere,/Okere/,Man,m,igbo
Okereke,/Okere-eke/,A man born on an,m,igbo
Okenkwu,/Óké-ńkwụ́/,The great palm tree,m,igbo
Okeoma,/Oke-ọma/,A good creation.,m,igbo
Okemmuo,/Óké-mmụọ́/,1. The great spirit,m,igbo
Okeke,/Okeke/,A man born on,m,igbo
Okechukwu,/Okike-chukwu/,God's portion or creation.,m,igbo
Okaka,/Ọkaaka/,One greater than the greatest,m,igbo
Okagbue,/Ọkagbue/,He/She has nullified (a situation),m,igbo
Okafor,/Okafọ/,A man born on,m,igbo
Okadigbo,/Ọka-di-gboo/,unknown,m,igbo
Okelue,/O-kelue/,(he/she) has apportioned perfectly or to one's fulfillment,m/f,igbo
Ojukwu,-,unknown,-,igbo
Ojiakor,/Ọjị-akọ/,The Iroko shall not become scarce,m,igbo
Ojinnaka,/O-ji-nna-ka/,One who surpasses by his father,m,igbo
Ojike,/Oji-ike/,One who wields great strength/power;,m,igbo
Ojiegbu,-,unknown,-,igbo
Ojibe,/Oji-ibe/,One who has the benefits of his kit/peers,m,igbo
Ojiba,/Ọjị-ba/,Let the Iroko tree abound,m,igbo
Ojianya,-,unknown,-,igbo
Ojekwe,-,unknown,-,igbo
Ohiaeri,/Ọhịa-eri/,unknown,m,igbo
Ohakem,-,unknown,-,igbo
Ohaka,/Ọha-ka/,The people are supreme.,m,igbo
Ohaeto,/Ọha-etoo/,The people have lifted me/made me bigger.,m,igbo
Ohaeri,-,unknown,-,igbo
Ogwuma,/Ogwu-ma/,unknown,m,igbo
Ogwugwu,/Ogwugwu/,A deity,m,igbo
Ohakaeze,/Ọha-ka-eze/,The people are greater than the king.,m,igbo
Ogunor,/Ọgụ-ụnọ/,The war (from) within one's home.,m,igbo
Oguejiofor,/Ọgụ-eji-ọfọ/,The battle entered with clear conscience,m,igbo
Oguzor,/Ọgụ-ụzọ/,The war (from) outside one's home.,m,igbo
Oguchi,/Ọgụ-chi/,God's battle,m,igbo
Oguguo,/Ọgụgụọ/,He/She has consoled.,m,igbo
Ogugua,/Ọgụgụa/,One who consoles,m,igbo
Oguebue,/Ọgụ-ebue/,The fight is over,m,igbo
Ogudo,/Ọgụ-udo/,fight,m,igbo
Ogo,/Ọgọ/,Favour,m/f,igbo
Ogochukwu,/Ọgọ-chukwu/,The favour of God,m/f,igbo
Ogoegbunem,/Ọgọ-egbune-m/,May the favour done for others not destroy me.,f,igbo
Ogonna,/Ọgọ-Nna/,A favour done by the father,f,igbo
Ogu,/Ọgụ/,"Fight, War or Battle",m,igbo
Ogoegbunam,/Ọgọ-egbuna-m/,May the favour done for others not destroy me,f,igbo
Ogidika,/Ogidi-ka/,Ogidi,m,igbo
Ogomegbunam,/Ọgọ-m-egbuna-m/,May the favour I do for others not destroy me.,f,igbo
Ogemdinakachukwu,/Oge-m-dị-na-aka-chukwu/,unknown,My time is in God's hands. ,igbo
Ogechi,/Ógè-chí/,God's time,f,igbo
Ogenna,/Ogenna/,The father's time.,m/f,igbo
Oge,/Oge/,Time,m/f,igbo
Ogechukwu,/Ógè-chúkwú/,﻿,m/f,igbo
Ogbuke,-,unknown,-,igbo
Ogemdi,/Oge-m-dị/,unknown,m/f,igbo
Ogbueshi,/Ogbu-eshi/,Slaughterer of cattle,m,igbo
Ogbuagu,/Ogbu-agụ/,One who kills leopards,m,igbo
Ogban,-,unknown,-,igbo
Ogbuawa,-,unknown,-,igbo
Ogbonna,/Ogbo-Nna/,Father's confidant,m,igbo
Ogbo,/Ogboo/,unknown,m,igbo
Ogbonnaya,/Ogbo-Nna-ya/,His father's confidant.,m,igbo
Ogamba,/Ọ-ga-mba/,Traveler,m,igbo
Ogbatulenyi,/Ọgbatulu-enyi/,One who fell the elephant.,m,igbo
Ogadi,/Ọ-ga-adị/,It will be,m,igbo
Oforma,/Ọfọ-ma/,unknown,knows,igbo
Oforle,/Ọfọ-lee/,May,m,igbo
Oforjebe,/Ọfọ-jebe/,May,m,igbo
Oforbuike,/Ọ̀fọ́-bụ̀-ìkè/,is (a source of) strength,m,igbo
Ofoekezie,/Ọfọ-ekezie/,an Ofo has apportioned fairly,m,igbo
Ofor,/Ọ̀fọ́/,A sacred article made from the branch of the Ofor tree,m,igbo
Ofoegbu,/Ọfọ-egbu/,May the,m,igbo
Ofonagoro,/Ọfọ-na-agọrọ/,defends me or absolves me of wrongdoing in a case.,m,igbo
Ogadimma,/Ọ-ga-adị-mma/,It will be well,m,igbo
Oforkansi,/Ọfọ-ka-nsị/,is potent against,m,igbo
Oforchebe,/Ọfọ-chebe/,May,m,igbo
Ofodile,/Ọfọ-dị-ịle/,Potent,m,igbo
Ofoedu,/Ọfọ-edu/,leads (you),m,igbo
Ofiadiulu,/Ọfịa-dị-ulu/,The forest that has become profitable,m,igbo
Ofodum,/Ọfọ-dum/,﻿May, ,igbo
Ofiaeli,-,unknown,-,igbo
Odunze,/Ọdụ-Nze/,The place of,m,igbo
Ofili,-,unknown,-,igbo
Odumegwu,/Ọ-dụ-m-egwu/,unknown,m,igbo
Oduagu,/Ọdụ-agụ/,Leopard's tail,m,igbo
Odoemena,/Ọdọ-emena/,Another (of event or situation) should not repeat itself or befall us a second time,m,igbo
Odira,/O-dịra/,unknown,m/f,igbo
Odionyenfe,/Ọdị-onye-nfe/,Who has got it all easy,m,igbo
Odinigwe,/Ọ-di-na-Ịgwe/,One or a thing that's in multitude,m,igbo
Odinammadu,/Ọ-dị-na-mmadụ/,A thing that is in human/man.,m,igbo
Oduenyi,/Ọdụ-enyi/,The elephants tail,m,igbo
Odum,/Ọdụm/,Lion,m,igbo
Odinakachukwu,/Ọ-dị-na-aka-chukwu/,It is in God's hands,f,igbo
Odimegwu,/Ọdi-m-egwu/,It amazes me.,m,igbo
Odiara,-,unknown,-,igbo
Odinaka,/Ọ-dị-na-aka/,It is in (the) hand,f,igbo
Odigwe,/Ọdị-igwe/,One or a thing who is a multitude,m,igbo
Odiegwu,/Ọ-dị-egwu/,Something amazing.,m,igbo
Odezulu,/O-de-zulu/,One whose fame spread about,m,igbo
Odikpo,/Ọ-dị-ikpo/,unknown,m,igbo
Ochomma,/Ọchọ-mma/,One who seeks beauty/good,m,igbo
Odenigbo,/O-de-na-Igbo/,One or a thing whose fame resounds all over the Igbo nation.,m,igbo
Odera,/O-dera/,Once (he/she) has written,m,igbo
Obumselu,/Ọ-bụ-m-selụ/,Am I the cause of the strife?,m,igbo
Ochuonu,/Ọchụ-ọnụ/,Slander,m,igbo
Obumneme,/Ọ-bụ-m-na-eme/,Am I the instigator or cause?,m,igbo
Ochinanwata,/Ọchị-na-nwata/,One who leads from childhood or child king,m,igbo
Odah,-,unknown,-,igbo
Obukwelu,/Obu-kwelụ/,The,m,igbo
Obuekezie,/Obu-ekezie/,The,m,igbo
Obudumma,/Obu-du-mma/,The good,m,igbo
Obuekwe,/Obu-ekwe/,The heart agrees,m,igbo
Obualor,/Obu-alọ/,The,m,igbo
Obu,/Obu/,The first house in a family compound that serves as the center of the family's material and spiritual administration.,m,igbo
Obiweluozor,/Obi-welụ-ọzọ/,The,m,igbo
Obuegbe,-,unknown,-,igbo
Obioma,/Obi-ọma/,A good heart,f,igbo
Obinwa,/Obi-nwa/,The child's,m,igbo
Obinze,/Obi-nze/,The,m,igbo
Obinwanne,/Obi-nwanne/,The heart of a sibling,m,igbo
Obiora,/Obi-ọra/,The mind/wishes of the people,m,igbo
Obinigwe,/O-bi-na-igwe/,One who resides in the sky/heaven,m,igbo
Obinwogu,/Obi-nwe-ọgụ/,The,m,igbo
Obinna,/Obi-nna/,The father's mind,m,igbo
Obineche,/Obi-na-eche/,The,m,igbo
Obikwere,/Obi-kwere/,The,m,igbo
Obigwu,-,unknown,-,igbo
Obimdike,/Obi-m-dị-ike/,My heart is steadfast,m,igbo
Obijiaku,/Obi-ji-akụ/,The,m,igbo
Obikwelu,/Obi-kwelụ/,The,m,igbo
Obijiofor,/Obi-ji-ọfọ/,The Obi holds the Ofor,m,igbo
Obieze,/Obi-eze/,The kings,m,igbo
Obiefuna,/Obi-efuna/,May the,m,igbo
Obienyem,/Obi-enye-m/,The,m,igbo
Obienu,-,unknown,-,igbo
Obiekwe,/Obi-ekwe/,The heart agrees,m,igbo
Obiechina,/Obi-echina/,May the,m,igbo
Obidiozor,/Obi-dị-ọzọ/,An,m,igbo
Obiekezie,/Obi-ekezie/,The,m,igbo
Obidimma,/Obi-dị-mma/,he,m,igbo
Obidike,/Obi-di-ike/,The,m,igbo
Obidigwe,/Òbí-dị-igwe/,The,m,igbo
Obidigbo,/Òbí-di-gboo/,The,m,igbo
Obidi,/Obi-di/,The,m,igbo
Obibuotu,/Obi-bụ-otu/,The,m,igbo
Obibuenyi,/Obi-bu-enyi/,The Obi is an elephant,m,igbo
Obiatuegwu,/Obi-atụghi-egwu/,The,m,igbo
Obianuju,/Ọbịa-na-uju/,unknown,f,igbo
Obianokwalu,/Obi-a-nọkwalu/,The,m,igbo
Obianowalu,/Obi-a-nọwalụ/,The,m,igbo
Obialu,/Ọbịalụ/,One who came,f,igbo
Obiakeze,/Obi-akaghị-eze/,The,m,igbo
Obiano,-,unknown,-,igbo
Obialunamma,/O-bịalu-na-mma/,One who came at a good time,f,igbo
Obiakor,/Òbí-ákọ́/,I always have an,m,igbo
Obiajulu,/Obi-ajụlụ/,The heart has found peace,m,igbo
Obeleogu,/Obele-ọgụ/,The little battle,m,igbo
Obi,/Òbí/,The first house in a family compound that serves as the center of the family's physical and spiritual administration.,m,igbo
Obaze,-,unknown,-,igbo
Obiageri,/Ọbịa-ga-eri/,One who has come to live a good life,f,igbo
Obennebo,-,unknown,-,igbo
Obele,/Obele/,Little,m,igbo
Obiageli,/Ọbịa-ga-eli/,One who has come to live a good life,f,igbo
Obeleagu,/Obele-agu/,Young or Little Leopard,m,igbo
Obasi,/Ọbasị/,unknown,m,igbo
Songoli,/Sọ̀-ngòlí/,Only enjoyment,f,igbo
Somtochukwu,/Som-to-chukwu/,Praise God with me,m/f,igbo
Sochukwuma,/Sọ-chukwu-ma/,Only God knows.,m,igbo
Somkele,/So-m-kele/,unknown,m/f,igbo
Somto,/Som-to/,Join me in praising,m/f,igbo
Rapuluchukwu,/Rapụ-lụ-chukwu/,unknown,Leave it for God,igbo
Somadina,/Sọ-m-adị-na/,May I not exist in isolation.,m,igbo
Rapulu,/Rapụlụ/,unknown,-,igbo
Raluchineke,/Ralụ-chineke/,Leave it for God,m,igbo
Ralueke,/Ralu-eke/,Leave it for,m,igbo
Ralu,/Ralụ/,Hands off.,m,igbo
Raluchukwu,/Ralụ-chukwu/,Hands off for God,m,igbo
Muoneme,/Mmuo-na-eme/,The spirit does or brings to reality,m,igbo
Rapu,/Rapụ/,unknown,Leave,igbo
Muokwugwo,/Mmụọ-kwụọ-ụgwọ/,May the spirit being pay/judge everyone in kind,m,igbo
Munachimso,/Mụ-na-chi-m-so/,I and my,f,igbo
Muojekwe,/Mmụọ-jee-ekwe/,The Spirit beings/Ancestors shall approve.,m,igbo
Muoghalu,/Mmụọ-gha-lu/,Let the spirit being leave me be,m,igbo
Muogbo,/Mmụọ-gboo/,unknown,m,igbo
Muofunanya,/Mmụ̄ọ́-fụ̀-ná-ányá/,The spirit(s) love,m/f,igbo
Muojiama,/Mmụọ-ji-ama/,The Spirit being defends the,m,igbo
Munachi,/Mụ-na-chi/,I and,f,igbo
Mukosolu,/Mụ-ka-ọsọlụ/,It pleases me,m/f,igbo
Mozie,/Mmụọ-zie/,The spirit being has shown,m,igbo
Motoh,/Mmụọ-to/,Mmụọ-to,m,igbo
Monye,/Mmụọ-nye/,The spirit gave,m,igbo
Momah,/Mmụọ-ma/,The Spirit Knows.,m,igbo
Mokwugwo,/Mmụọ-kwụọ-ụgwọ/,Let the spirit being reward (us),m,igbo
Morah,/Mmuo-raa/,Let the spirit being leave me be.,m,igbo
Molokwu,-,unknown,-,igbo
Moneke,/Mmụọ-na-eke/,The spirit creates,m,igbo
Mogbo,/Mmụọ-gboo/,May the spirit supply my needs,m,igbo
Mmuoma,/Mmụọ-ma/,The spirit being knows,m,igbo
Modezie,/Mmụọ-dezie/,unknown,m,igbo
Mmuo,/Mmụọ/,Spirit.,m,igbo
Modilim,/Mmụọ-dịlị-m/,Let the spirit being be on my side,m,igbo
Mokwelu,/Mmụọ-kwelu/,The spirit being is deserving/worthy,m,igbo
Moghalu,/Mmụọ-gha-lu/,Let the spirit evade me,m,igbo
Modebe,/Mmụọ-debe/,The spirit being kept/preserved me,m,igbo
Mmesoma,/Mmeso-ọma/,unknown,Acts of kindness;,igbo
Mmeso,/Mmeso/,unknown,f,igbo
Mmesomachi,/Mmeso-ọma/,unknown,Kind acts of God,igbo
Mmasichukwu,/Mmasi-chukwu/,God's desire/pleasure,m/f,igbo
Mmadubueze,/Mmadụ-bụ-eze/,People are king,m,igbo
Mmaegbunem,/Mma-egbune-m/,unknown,May my good deed never destroy me,igbo
Mmegbu,/Mmegbu/,Unfair treatment,m,igbo
Mmaduneme,/Mmadụ-na-eme/,It is mankind who cause things to happen.,m,igbo
Mkpulumma,/Mkpụlụ-mma/,A seed of beauty,f,igbo
Mmadu,/Mma-dụ/,Human(s),m,igbo
Mgboye,/Mgbe-Oye/,Young female born on,f,igbo
Mkparu,/Mkpa-arụ/,Material needs,f,igbo
Mgbeke,/Mgbe-Eke/,On,f,igbo
Mgbakor,-,unknown,-,igbo
Mgbebu,-,unknown,-,igbo
Mgbeoji,-,unknown,-,igbo
Mgbafor,/Mgbe-Afọ/,A female born on,f,igbo
Mezue,/Mezue/,To Fulfill or meet requirement.,m,igbo
Meka,-,unknown,-,igbo
Mbonu,/Mba-ọnụ/,Chastisement,m,igbo
Mbawike,/Mba-wụ-ike/,A nation is a source of strength.,m,igbo
Mefor,-,unknown,-,igbo
Mbanwusi,/Mba-anwụsị/,May the nation not die off,m,igbo
Mgbachi,/Mgbachi/,A exact a replacement,m,igbo
Mbanuzuru,/Mba-nụzuru/,All of the nations heard,m,igbo
Mbanugo,/Mba-anugo/,The nation/community has heard (the message),m,igbo
Mbanusi,-,unknown,-,igbo
Mbanefo,/Mba-na-efo/,May the nation/community remember.,m,igbo
Mbamalu,/Mba-malu/,That the community may become aware,m,igbo
Mbakwe,/Mba-kwe/,May the community or nation permit/approve,m,igbo
Mbaka,/Mba-ka/,Scolding is better than a fight,Scolding is better than a fight,igbo
Mbagwu,-,unknown,-,igbo
Mbagu,/Mba-agụ/,unknown,The leopard's roar,igbo
Mbadiwe,/Mba-dị-iwe/,A community/nation that is seething,m,igbo
Mbaekwe,/Mba-ekwe/,The Nation did not approve,m,igbo
Mbadugha,/Mba-dụ-ụgha/,A community/nation trades in deceit,m,igbo
Mbaegbulam,/Mba-egbula-m/,May a nation not kill me,m,igbo
Makwudo,-,unknown,-,igbo
Mbaebie,/Mba-ebie/,A nation has ended,m,igbo
Malife,/Malụ-ịfe/,Get Knowledge,m,igbo
Madukife,/Mmadụ-ka-ịfe/,Humans are of far more value than material things.,m,igbo
Maduka,/Mmadụ-ka/,People are greater/better,m,igbo
Makachi,/Maka-chi/,For the sake of God,m,igbo
Makuo,/Makụọ/,Embrace,m,igbo
Makuochukwu,/Makụọ-chukwu/,Embrace God,m,igbo
Madueke,-,unknown,-,igbo
Madubuko,/Mmadụ-bụ-uko/,People are a thing to pride,m,igbo
Madumelu,/Mmadu-melu/,A thing wrought by human,m,igbo
Maduakor,/Mmadụ-akọ/,unknown,m,igbo
Madu,/Mmadụ/,Human(s),m,igbo
Kosoluchukwu,/Ka-ọsọlụ-chukwu/,unknown,m/f,igbo
Madichie,-,unknown,-,igbo
